game_id,season,away_team,home_team,away_fouls,home_fouls
20000564,0,POR,MIA,22,19
20000184,0,ORL,ATL,35,28
20000383,0,VAN,SAC,20,16
20001067,0,PHX,IND,22,16
20001096,0,VAN,SAC,18,16
20000340,0,PHI,CHI,28,24
20001176,0,UTA,LAC,30,28
20000105,0,GSW,CLE,30,22
20001118,0,MIL,CHI,17,17
20001018,0,WAS,IND,24,19
20000934,0,POR,PHX,22,23
20000118,0,NYK,LAC,18,21
20000159,0,HOU,BOS,26,22
20000458,0,POR,IND,22,20
20001109,0,SAC,POR,27,19
20000811,0,GSW,CHI,21,18
20000082,0,SAS,DAL,26,20
20000947,0,SAS,NJN,29,23
20000162,0,NYK,ATL,16,24
20000146,0,DET,CHH,27,33
20000033,0,NJN,CHI,29,28
20001156,0,WAS,CLE,23,22
20000464,0,HOU,DET,24,17
20000757,0,UTA,SAC,23,23
20001171,0,MIL,MIA,14,18
20001099,0,PHX,CLE,25,24
20000127,0,PHI,MIA,18,19
20000643,0,SAC,GSW,17,19
20001106,0,TOR,CHI,24,19
20000670,0,TOR,MIN,24,16
20000240,0,SEA,DEN,21,21
20000688,0,LAC,CHI,16,21
20000504,0,MIN,DAL,22,22
20000589,0,WAS,CHH,24,23
20000286,0,IND,CHH,24,17
20000540,0,LAC,IND,23,26
20000595,0,VAN,SAS,20,22
20000221,0,POR,DAL,24,19
20000136,0,POR,MIA,21,21
20000612,0,PHX,BOS,18,26
20000492,0,PHI,NJN,25,19
20001181,0,PHI,CHI,16,19
20000798,0,SAS,DAL,27,18
20000744,0,MIL,CHH,15,17
20000289,0,SAS,CHI,25,17
20001016,0,POR,LAC,27,24
20000664,0,DET,BOS,30,27
20000687,0,SAS,GSW,24,19
20001187,0,UTA,PHX,23,28
20000201,0,MIL,MIA,20,23
20000930,0,PHI,CHI,20,14
20000413,0,ORL,DET,25,32
20001089,0,PHI,CLE,21,17
20000125,0,VAN,LAC,19,24
20001002,0,GSW,DET,24,25
20000455,0,PHX,LAC,23,23
20000322,0,TOR,NYK,16,17
20000781,0,LAC,CHI,18,23
20000686,0,NYK,HOU,24,22
20001114,0,WAS,IND,25,27
20001166,0,NYK,CLE,19,22
20000533,0,POR,DET,26,26
20000249,0,NYK,LAC,21,25
20000241,0,GSW,DAL,21,19
20000301,0,UTA,SAS,30,34
20000730,0,IND,DET,23,22
20000295,0,NJN,DAL,20,25
20001121,0,PHX,LAL,22,18
20000880,0,WAS,CLE,21,15
20000244,0,MIL,IND,28,28
20000031,0,MIA,CHH,27,24
20000554,0,TOR,SAS,11,19
20000644,0,POR,CHI,17,14
20000234,0,ORL,NJN,24,21
20001082,0,WAS,NYK,20,19
20000569,0,DEN,CLE,25,21
20001074,0,WAS,MIA,27,10
20001113,0,DET,ATL,25,18
20000789,0,MIN,GSW,13,20
20000714,0,CHI,ATL,20,24
20000139,0,PHX,HOU,28,23
20000731,0,DAL,CLE,23,22
20000467,0,TOR,DAL,25,20
20000007,0,MIL,DAL,26,27
20000870,0,PHX,DEN,28,24
20000017,0,WAS,CHH,25,28
20000742,0,SAC,DEN,24,16
20000528,0,SAC,HOU,19,21
20000852,0,VAN,LAL,22,21
20000653,0,VAN,PHX,20,20
20000617,0,SEA,GSW,20,13
20000070,0,UTA,LAC,33,31
20001035,0,PHX,HOU,15,16
20000169,0,SAC,CHI,22,18
20000818,0,TOR,CLE,25,21
20000675,0,UTA,SEA,23,25
20000387,0,IND,ATL,20,18
20000029,0,WAS,NYK,22,21
20000636,0,SAS,LAC,20,21
20001030,0,SEA,MIN,20,18
20001053,0,NJN,HOU,20,24
20001185,0,MIN,DAL,23,17
20000190,0,MIN,GSW,24,35
20000843,0,SEA,IND,25,23
20000248,0,VAN,SAS,21,16
20000061,0,NYK,CLE,23,17
20000344,0,MIA,GSW,26,22
20000317,0,UTA,MIL,30,31
20000408,0,WAS,NYK,32,25
20000836,0,POR,LAC,14,19
